topic,placeId,placeName,placeType,fips,region,date,body,confidence,sourceType,vendors,matchedTerms,tags,excerpt,sourceUrl
land-use,muscogee,Columbus-Muscogee County,county,13215,West Georgia,2026-08-24,City Council,high,ocr,,annex; apartment; rezon; variance,annexation; development; rezoning; variance,,https://legistar3.granicus.com/Columbus/meetings/2026/8/6203_A_Columbus_City_Council_26-08-24_Agenda.pdf
land-use,hall,Hall County,county,13139,Northeast Georgia,2026-08-24,Board of Commissioners,high,ocr,,comprehensive plan; rezon; subdivision; variance,comprehensive-plan; development; rezoning; variance,,https://nyc3.digitaloceanspaces.com/hall-county-agenda-pub/media/pdfs/agenda-list-MG-329-ws-20260821194034801533.pdf
land-use,forsyth,Forsyth County,county,13117,Atlanta Regional Commission,2026-08-20,Board of Commissioners,high,ocr,,rezon; variance; warehouse,development; rezoning; variance,,"https://forsythcoga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=5276,plainText=false)"
land-use,coweta,Coweta County,county,13077,,2026-08-20,Board of Zoning Appeals,high,ocr,,variance,variance,,"https://cowetacoga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=3595,plainText=false)"
land-use,columbia,Columbia County,county,13073,Central Savannah River Area,2026-08-20,Planning Commission,high,ocr,,conditional use; rezon; variance,rezoning; special-land-use; variance,,"https://columbiacoga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=13750,plainText=false)"
land-use,barrow,Barrow County,county,13013,Broader Metropolitan Statistical Area,2026-08-20,Planning Commission,high,granicus,,mixed-use; rezon; subdivision; variance,development; rezoning; variance,… dge Rd ; PEC Plus / Applicant; Shoreland Ventures 2 LLC / Owner; Special Use request to UDC Sec. 89-1511 to allow for a Mixed-Use Village within the Destination 211 Overlay. Request to rezone ±345.04 acres from AG (Agriculture) to R-3 (High Density …,https://barrowga.granicus.com/AgendaViewer.php?view_id=1&clip_id=1151
land-use,fulton,Fulton County,county,13121,Atlanta Regional Commission,2026-08-19,Board of Commissioners,high,legistar,,apartment; subdivision; warehouse,development,"… ntenance, and Land Use Agreement for Private Improvement (Indemnification Agreement) between Fulton County, a political subdivision of the State of Georgia, and Blakely Manor Development LLC, for the purpose of granting conditional approval to allow s …",https://fulton.legistar.com/MeetingDetail.aspx?LEGID=6392&GID=817&G=197058BF-F352-4423-BE44-04DFABBD8188
land-use,clarke,Athens-Clarke County,county,13059,Northeast Georgia,2026-08-19,Historic Preservation Commission,high,ocr,,mixed-use,development,,https://www.accgov.com/AgendaCenter/ViewFile/Agenda/_08192026-3021
land-use,walton,Walton County,county,13297,Broader Metropolitan Statistical Area,2026-08-18,Board of Appeals,high,ocr,,variance,variance,,https://mccmeetings.blob.core.usgovcloudapi.net/waltonco-pubu/MEET-Agenda-882997fb5ca446f7b704007cdb30d450.pdf
land-use,newton,Newton County,county,13217,Broader Metropolitan Statistical Area,2026-08-18,Board of Commissioners,high,ocr,,rezon,rezoning,,https://www.newtoncountyga.gov/AgendaCenter/ViewFile/Agenda/_08182026-994
land-use,douglas,Douglas County,county,13097,Atlanta Regional Commission,2026-08-18,Board of Commissioners,high,ocr,,annex,annexation,,"https://douglascountyga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=7495,plainText=false)"
land-use,dekalb,DeKalb County,county,13089,Atlanta Regional Commission,2026-08-18,Committee of the Whole,high,legistar,,land use permit; slup; special land use,special-land-use,"Commission District(s): 4 and 7 Application of Rooted in Christ Academy, LLC c/o Chiquita Stokes for a Special Land Use Permit (SLUP) for a child daycare facility for up to six children in the R-100 (Residential Medium Lot-100) zoning dist …",https://dekalbcountyga.legistar.com/MeetingDetail.aspx?LEGID=4485&GID=570&G=38B42E79-166F-4337-AE30-3665ECD50E7A
land-use,columbia,Columbia County,county,13073,Central Savannah River Area,2026-08-18,Board of Commission,high,ocr,,conditional use; rezon; variance,rezoning; special-land-use; variance,,"https://columbiacoga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=13761,plainText=false)"
land-use,cobb,Cobb County,county,13067,Atlanta Regional Commission,2026-08-18,Board of Commissioners,high,ocr,,slup,special-land-use,,"https://cobbcoga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=10154,plainText=false)"
land-use,clayton,Clayton County,county,13063,Atlanta Regional Commission,2026-08-18,Board of Commissioners,high,ocr,,comprehensive plan; conditional use; future land use; mixed use; mixed-use; multi-family; rezon; subdivision; townhome; variance,comprehensive-plan; development; rezoning; special-land-use; variance,,https://claytoncountyga.primegov.com/Public/CompiledDocument?meetingTemplateId=5399&compileOutputType=1
land-use,clarke,Athens-Clarke County,county,13059,Northeast Georgia,2026-08-18,Mayor & Commission,high,ocr,,future land use; multifamily; rezon,comprehensive-plan; development; rezoning,,https://www.accgov.com/AgendaCenter/ViewFile/Agenda/_08182026-3038
land-use,cherokee,Cherokee County,county,13057,Atlanta Regional Commission,2026-08-18,Board of Commissioners,high,granicus,,annex; apartment; multi-family; rezon; subdivision; townhome; variance; warehouse,annexation; development; rezoning; variance,… rovisions regarding mailboxes in the right-of-way. 9. PUBLIC COMMENT 10. PLANNING AND ZONING 10.1 City of Holly Springs Annexation - Holly Springs Parkway and Misty Hollow Way. Consider the annexation request from the City of Holly Springs for 6 …,https://cherokeega.granicus.com/AgendaViewer.php?view_id=1&clip_id=1600
land-use,henry,Henry County,county,13151,Atlanta Regional Commission,2026-08-17,Board of Commissioners,high,ocr,,annex; rezon,annexation; rezoning,,"https://henrycoga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=2619,plainText=false)"
land-use,douglas,Douglas County,county,13097,Atlanta Regional Commission,2026-08-17,Board of Commissioners,high,ocr,,annex,annexation,,"https://douglascountyga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=7477,plainText=false)"
land-use,hall,Hall County,county,13139,Northeast Georgia,2026-08-13,Board of Commissioners,high,ocr,,annex; comprehensive plan; rezon; subdivision; variance,annexation; comprehensive-plan; development; rezoning; variance,,https://nyc3.digitaloceanspaces.com/hall-county-agenda-pub/media/pdfs/agenda-list-MG-328-vm-20260812192908006643.pdf
land-use,dekalb,DeKalb County,county,13089,Atlanta Regional Commission,2026-08-13,Board of Commissioners - Zoning Meeting,high,legistar,,apartment; land use permit; land use plan; mixed-use; rezon; slup; special land use; townhome,comprehensive-plan; development; rezoning; special-land-use,"COMMISSION DISTRICT(S): 3 and 6 Application of the Director of Planning & Sustainability to amend the land use plan from Light Industrial (LIND) character area to Suburban (SUB) character area, at 1670 Henrico Road. Ordinance",https://dekalbcountyga.legistar.com/MeetingDetail.aspx?LEGID=4539&GID=570&G=38B42E79-166F-4337-AE30-3665ECD50E7A
land-use,cherokee,Cherokee County,county,13057,Atlanta Regional Commission,2026-08-13,Zoning Board of Appeals,high,granicus,,variance,variance,"… s 2. ZONING CASES 2.1 Case #26-07-032V Michelle McCauley for Motley 7 Brew, LLC (BOC Dist. 4) Applicant is requesting a variance from Article 7, Section 7.5-3.3e. to eliminate the requirement to provide a 6-foot landscape strip adjacent to Outparce …",https://cherokeega.granicus.com/AgendaViewer.php?view_id=1&clip_id=1597
land-use,barrow,Barrow County,county,13013,Broader Metropolitan Statistical Area,2026-08-13,Board of Appeals,high,granicus,,variance,variance,… a) VAR2026- 00 10 5 (XX096 047) 607 Smith Cemetery Rd ; Native Development Group / Applicant; Sentry Drive LLC / Owner; Variance request to 89-1605 ; public connectivity; to remove the required sidewalk from the primary structure to the street fron …,https://barrowga.granicus.com/AgendaViewer.php?view_id=1&clip_id=1150
land-use,cobb,Cobb County,county,13067,Atlanta Regional Commission,2026-08-12,Board of Zoning Appeals,high,ocr,,variance,variance,,"https://cobbcoga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=10099,plainText=false)"
land-use,paulding,Paulding County,county,13223,Atlanta Regional Commission,2026-08-11,Board of Commissioners Work Session,high,ocr,,subdivision,development,,https://mccmeetings.blob.core.usgovcloudapi.net/pauldingga-pubu/MEET-Agenda-c83f3a2f035a4feda43980d8f6d2b7e5.pdf
land-use,paulding,Paulding County,county,13223,Atlanta Regional Commission,2026-08-11,Board of Commissioners Board Meeting,high,ocr,,rezon; subdivision,development; rezoning,,https://mccmeetings.blob.core.usgovcloudapi.net/pauldingga-pubu/MEET-Agenda-140b84c276c443a1870d10104604b0d7.pdf
land-use,forsyth,Forsyth County,county,13117,Atlanta Regional Commission,2026-08-11,Board of Commissioners,high,ocr,,rezon,rezoning,,"https://forsythcoga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=5258,plainText=false)"
land-use,coweta,Coweta County,county,13077,,2026-08-11,Board of Commissioners,high,ocr,,subdivision,development,,"https://cowetacoga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=3612,plainText=false)"
land-use,cobb,Cobb County,county,13067,Atlanta Regional Commission,2026-08-11,Board of Commissioners,high,ocr,,rezon,rezoning,,"https://cobbcoga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=10156,plainText=false)"
land-use,banks,Banks County,county,13011,,2026-08-11,Board of Commissioners,high,ocr,,annex; conditional use; rezon,annexation; rezoning; special-land-use,,https://mccmeetings.blob.core.usgovcloudapi.net/banksctyga-pubu/MEET-Agenda-e2c5e72b9ff2461f89ad7cc0b40cd927.pdf
land-use,hall,Hall County,county,13139,Northeast Georgia,2026-08-10,Board of Commissioners,high,ocr,,comprehensive plan; rezon; subdivision; variance,comprehensive-plan; development; rezoning; variance,,https://nyc3.digitaloceanspaces.com/hall-county-agenda-pub/media/pdfs/agenda-list-MG-328-ws-20260810131407101846.pdf
land-use,walton,Walton County,county,13297,Broader Metropolitan Statistical Area,2026-08-06,Planning Commission,high,ocr,,rezon; subdivision; variance; warehouse,development; rezoning; variance,,https://mccmeetings.blob.core.usgovcloudapi.net/waltonco-pubu/MEET-Agenda-d3bb4fbf93894d689bb2a7546829d9e1.pdf
land-use,forsyth,Forsyth County,county,13117,Atlanta Regional Commission,2026-08-06,Board of Commissioners,high,ocr,,comprehensive plan; rezon; subdivision; variance,comprehensive-plan; development; rezoning; variance,,"https://forsythcoga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=5247,plainText=false)"
land-use,columbia,Columbia County,county,13073,Central Savannah River Area,2026-08-06,Planning Commission,high,ocr,,conditional use; rezon; variance,rezoning; special-land-use; variance,,"https://columbiacoga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=13728,plainText=false)"
land-use,clarke,Athens-Clarke County,county,13059,Northeast Georgia,2026-08-06,Planning Commission,high,ocr,,future land use; rezon,comprehensive-plan; rezoning,,https://www.accgov.com/AgendaCenter/ViewFile/Agenda/_08062026-3017
land-use,fulton,Fulton County,county,13121,Atlanta Regional Commission,2026-08-05,Board of Commissioners,high,legistar,,subdivision,development,"Request approval of a Water Vault Easement Dedication of 73 square feet to Fulton County, a political subdivision of the State of Georgia, from Mayfield Canton Development Group, LLC, for the purpose of constructing the Canton on May …",https://fulton.legistar.com/MeetingDetail.aspx?LEGID=6391&GID=817&G=197058BF-F352-4423-BE44-04DFABBD8188
land-use,walton,Walton County,county,13297,Broader Metropolitan Statistical Area,2026-08-04,Board of Commissioners,high,ocr,,rezon; subdivision; warehouse,development; rezoning,,https://mccmeetings.blob.core.usgovcloudapi.net/waltonco-pubu/MEET-Agenda-06a373545b924ab598e8e78259dfb704.pdf
land-use,newton,Newton County,county,13217,Broader Metropolitan Statistical Area,2026-08-04,Board of Commissioners,high,ocr,,comprehensive plan; rezon,comprehensive-plan; rezoning,,https://www.newtoncountyga.gov/AgendaCenter/ViewFile/Agenda/_08042026-990
land-use,henry,Henry County,county,13151,Atlanta Regional Commission,2026-08-04,Board of Commissioners,high,ocr,,subdivision,development,,"https://henrycoga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=2608,plainText=false)"
land-use,douglas,Douglas County,county,13097,Atlanta Regional Commission,2026-08-04,Planning & Zoning,high,ocr,,rezon,rezoning,,"https://douglascountyga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=7445,plainText=false)"
land-use,columbia,Columbia County,county,13073,Central Savannah River Area,2026-08-04,Board of Commission,high,ocr,,apartment; variance,development; variance,,"https://columbiacoga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=13734,plainText=false)"
land-use,cobb,Cobb County,county,13067,Atlanta Regional Commission,2026-08-04,Planning Commission,high,ocr,,land use permit; slup,special-land-use,,"https://cobbcoga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=10096,plainText=false)"
land-use,clarke,Athens-Clarke County,county,13059,Northeast Georgia,2026-08-04,Mayor & Commission,high,ocr,,annex; apartment; comprehensive plan; conditional use; future land use; land use plan; mixed-use; multi-family; multifamily; rezon; subdivision; variance; warehouse,annexation; comprehensive-plan; development; rezoning; special-land-use; variance,,https://www.accgov.com/AgendaCenter/ViewFile/Agenda/_08042026-3028
land-use,cherokee,Cherokee County,county,13057,Atlanta Regional Commission,2026-08-04,Planning Commission,high,granicus,,rezon; variance,rezoning; variance,"… CASES 1.1 Case #26-08-017 - J. Ethan Underwood for EC New Vision Georgia, LLC (BOC Dist. 4). Applicant is requesting to rezone 110.74 +/- acres from General Agriculture (AG) to Single-Family Residential (R-20) for a Conservation Design Community …",https://cherokeega.granicus.com/AgendaViewer.php?view_id=1&clip_id=1589
land-use,cherokee,Cherokee County,county,13057,Atlanta Regional Commission,2026-08-04,Board of Commissioners,high,granicus,,mixed-use; multi-family; rezon; subdivision; variance,development; rezoning; variance,"… Co., LLC (BOC Dist. 4). Applicant is requesting to rezone 2.0 +/- acres from R-40 to R-20 for a four-lot single family subdivision. 10.2 Case #26-07-015 - Parks F. Huff for Midway Electrical Contracting, Inc. (BOC Dist. 4). Applicant is requesting to …",https://cherokeega.granicus.com/AgendaViewer.php?view_id=1&clip_id=1587
land-use,carroll,Carroll County,county,13045,Broader Metropolitan Statistical Area,2026-08-04,Board of Commissioners,high,ocr,,annex; rezon,annexation; rezoning,,"https://carrollcoga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=2987,plainText=false)"
land-use,bibb,Macon-Bibb County,county,13021,Middle Georgia,2026-08-04,Board of Commissioners,high,ocr,,comprehensive plan; subdivision; variance,comprehensive-plan; development; variance,,"https://maconbibbcoga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=3651,plainText=false)"
land-use,bibb,Macon-Bibb County,county,13021,Middle Georgia,2026-08-04,Board of Commissioners,high,ocr,,comprehensive plan; subdivision; variance,comprehensive-plan; development; variance,,"https://maconbibbcoga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=3649,plainText=false)"
land-use,banks,Banks County,county,13011,,2026-08-04,Planning Commission,high,ocr,,annex; rezon,annexation; rezoning,,https://mccmeetings.blob.core.usgovcloudapi.net/banksctyga-pubu/MEET-Agenda-cc49ca5f62be455ea1545b750c8edd9e.pdf
land-use,chatham,Chatham County,county,13051,Coastal Georgia,2026-07-31,Board of Commissioners,high,ocr,,rezon; variance,rezoning; variance,,https://chathamcountyga.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=1741&Inline=True
land-use,newton,Newton County,county,13217,Broader Metropolitan Statistical Area,2026-07-28,Planning Commission,high,ocr,,conditional use; future land use; rezon,comprehensive-plan; rezoning; special-land-use,,https://www.newtoncountyga.gov/AgendaCenter/ViewFile/Agenda/_07282026-989
land-use,newton,Newton County,county,13217,Broader Metropolitan Statistical Area,2026-07-28,Planning Commission,high,ocr,,conditional use; future land use; rezon,comprehensive-plan; rezoning; special-land-use,,https://www.newtoncountyga.gov/AgendaCenter/ViewFile/Agenda/_07282026-985
land-use,gwinnett,Gwinnett County,county,13135,Atlanta Regional Commission,2026-07-28,Board of Commissioners,high,ocr,,apartment; rezon; subdivision; variance,development; rezoning; variance,,https://www.gwinnettcounty.com/static/upload/bac/52/20260728/a_75722_2026.07.28___Public_Hearing_Agenda.pdf
land-use,forsyth,Forsyth County,county,13117,Atlanta Regional Commission,2026-07-28,Board of Commissioners,high,ocr,,comprehensive plan; rezon; subdivision,comprehensive-plan; development; rezoning,,"https://forsythcoga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=5239,plainText=false)"
land-use,banks,Banks County,county,13011,,2026-07-28,Board of Commissioners,high,ocr,,annex; subdivision,annexation; development,,https://mccmeetings.blob.core.usgovcloudapi.net/banksctyga-pubu/MEET-Agenda-79e26eba508141cfbbd6e42375c87652.pdf
land-use,henry,Henry County,county,13151,Atlanta Regional Commission,2026-07-27,Board of Commissioners,high,ocr,,rezon; subdivision,development; rezoning,,"https://henrycoga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=2600,plainText=false)"
land-use,hall,Hall County,county,13139,Northeast Georgia,2026-07-23,Board of Commissioners,high,ocr,,comprehensive plan; rezon; subdivision; variance,comprehensive-plan; development; rezoning; variance,,https://nyc3.digitaloceanspaces.com/hall-county-agenda-pub/media/pdfs/agenda-list-MG-327-vm-20260723130310185640.pdf
land-use,forsyth,Forsyth County,county,13117,Atlanta Regional Commission,2026-07-23,Board of Commissioners,high,ocr,,conditional use; rezon; subdivision; variance; warehouse,development; rezoning; special-land-use; variance,,"https://forsythcoga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=5227,plainText=false)"
land-use,coweta,Coweta County,county,13077,,2026-07-23,Board of Zoning Appeals,high,ocr,,variance,variance,,"https://cowetacoga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=3551,plainText=false)"
land-use,walton,Walton County,county,13297,Broader Metropolitan Statistical Area,2026-07-21,Board of Appeals,high,ocr,,variance,variance,,https://mccmeetings.blob.core.usgovcloudapi.net/waltonco-pubu/MEET-Agenda-d2e28617a4bb426da65173d3d0622d04.pdf
land-use,socialcircle,City of Social Circle,city,,Broader Metropolitan Statistical Area,2026-07-21,City Council,high,ocr,,rezon,rezoning,,https://socialcirclecityga.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=2150&Inline=True
land-use,newton,Newton County,county,13217,Broader Metropolitan Statistical Area,2026-07-21,Board of Commissioners,high,ocr,,mixed use; subdivision; townhome,development,,https://www.newtoncountyga.gov/AgendaCenter/ViewFile/Agenda/_07212026-984
land-use,henry,Henry County,county,13151,Atlanta Regional Commission,2026-07-21,Board of Commissioners,high,ocr,,rezon; subdivision,development; rezoning,,"https://henrycoga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=2596,plainText=false)"
land-use,coweta,Coweta County,county,13077,,2026-07-21,Board of Commissioners,high,ocr,,conditional use; rezon; variance,rezoning; special-land-use; variance,,"https://cowetacoga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=3555,plainText=false)"
land-use,columbia,Columbia County,county,13073,Central Savannah River Area,2026-07-21,Board of Commission,high,ocr,,variance,variance,,"https://columbiacoga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=13704,plainText=false)"
land-use,cobb,Cobb County,county,13067,Atlanta Regional Commission,2026-07-21,Board of Commissioners,high,ocr,,land use permit; rezon; slup; variance,rezoning; special-land-use; variance,,"https://cobbcoga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=9063,plainText=false)"
land-use,clayton,Clayton County,county,13063,Atlanta Regional Commission,2026-07-21,Board of Commissioners,high,ocr,,comprehensive plan; conditional use; mixed use; variance,comprehensive-plan; development; special-land-use; variance,,https://claytoncountyga.primegov.com/Public/CompiledDocument?meetingTemplateId=5383&compileOutputType=1
land-use,clarke,Athens-Clarke County,county,13059,Northeast Georgia,2026-07-21,Mayor & Commission,high,ocr,,annex; apartment; comprehensive plan; conditional use; future land use; land use plan; mixed-use; multi-family; multifamily; rezon; subdivision; variance,annexation; comprehensive-plan; development; rezoning; special-land-use; variance,,https://www.accgov.com/AgendaCenter/ViewFile/Agenda/_07212026-3016
land-use,cherokee,Cherokee County,county,13057,Atlanta Regional Commission,2026-07-21,Board of Commissioners,high,granicus,,annex; comprehensive plan; mixed-use; multi-family; rezon; subdivision; variance,annexation; comprehensive-plan; development; rezoning; variance,… g wireless tower to be located within a property line a distance less than the height of the tower. 10.2 City of Canton Annexation - 2829 Ball Ground Highway and 3830 Fate Conn Road. Consider annexation request from the City of Canton for 48.192 …,https://cherokeega.granicus.com/AgendaViewer.php?view_id=1&clip_id=1582
land-use,cherokee,Cherokee County,county,13057,Atlanta Regional Commission,2026-07-21,Board of Commissioners,high,granicus,,subdivision,development,"… erokee County Admin Complex 1130 Bluffs Pkwy, Canton, GA 30114 3:00 PM CALL TO ORDER 1. Update on Large Lot Residential Subdivision Ordinance presented by Consultant Team from Kimley-Horn. 2. Discussion of Regular Agenda Items. ADJOURN Executive Sessi …",https://cherokeega.granicus.com/AgendaViewer.php?view_id=1&clip_id=1576
land-use,bibb,Macon-Bibb County,county,13021,Middle Georgia,2026-07-21,Board of Commissioners,high,ocr,,comprehensive plan; future land use; land use plan; mixed-use; subdivision,comprehensive-plan; development,,"https://maconbibbcoga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=3633,plainText=false)"
land-use,bibb,Macon-Bibb County,county,13021,Middle Georgia,2026-07-21,Board of Commissioners,high,ocr,,comprehensive plan; future land use; land use plan; mixed-use; subdivision,comprehensive-plan; development,,"https://maconbibbcoga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=3630,plainText=false)"
land-use,hall,Hall County,county,13139,Northeast Georgia,2026-07-20,Board of Commissioners,high,ocr,,comprehensive plan; rezon; subdivision; variance,comprehensive-plan; development; rezoning; variance,,https://nyc3.digitaloceanspaces.com/hall-county-agenda-pub/media/pdfs/agenda-list-MG-327-ws-20260720125850365696.pdf
land-use,douglas,Douglas County,county,13097,Atlanta Regional Commission,2026-07-20,Board of Commissioners,high,ocr,,variance,variance,,"https://douglascountyga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=7427,plainText=false)"
land-use,columbia,Columbia County,county,13073,Central Savannah River Area,2026-07-16,Planning Commission,high,ocr,,apartment; rezon; variance,development; rezoning; variance,,"https://columbiacoga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=13692,plainText=false)"
land-use,barrow,Barrow County,county,13013,Broader Metropolitan Statistical Area,2026-07-16,Planning Commission,high,granicus,,future land use; rezon; subdivision; townhome; variance,comprehensive-plan; development; rezoning; variance,… r an individual lot split. f) BOC2026-00071 (XX049 079B) 0 Highway 211 NW; Jakob Sullins / Applicant; JPPN LLC / Owner; Future Land Use Map Amendment from Suburban Residential to Traditional Residential and Commercial Corridor. Request to rezone ±2.10 acr …,https://barrowga.granicus.com/AgendaViewer.php?view_id=1&clip_id=1142
land-use,fulton,Fulton County,county,13121,Atlanta Regional Commission,2026-07-15,Board of Commissioners,high,legistar,,multifamily; subdivision,development,"Request approval of a Water Easement Dedication of 25,755 square feet to Fulton County, a political subdivision of the State of Georgia, from JBGL Atlanta Development 2014, LLC, for the purpose of constructing the Bellwyn Project a …",https://fulton.legistar.com/MeetingDetail.aspx?LEGID=6390&GID=817&G=197058BF-F352-4423-BE44-04DFABBD8188
land-use,cobb,Cobb County,county,13067,Atlanta Regional Commission,2026-07-15,Board of Zoning Appeals,high,ocr,,variance,variance,,"https://cobbcoga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=9053,plainText=false)"
land-use,paulding,Paulding County,county,13223,Atlanta Regional Commission,2026-07-14,Board of Commissioners Board Meeting,high,ocr,,rezon,rezoning,,https://mccmeetings.blob.core.usgovcloudapi.net/pauldingga-pubu/MEET-Agenda-a1c7758398e84dcd984b9089d676195f.pdf
land-use,dekalb,DeKalb County,county,13089,Atlanta Regional Commission,2026-07-14,Board of Commissioners,high,legistar,,multifamily; rezon,development; rezoning,"… implementation of the DeKalb County Housing Investment Bond Program by approving the creation and implementation of the Multifamily Acquisition Fund, DeKalb Housing Catalyst Multifamily Gap Financing Program, DeKalb HomeStart Down Payment Assistance P …",https://dekalbcountyga.legistar.com/MeetingDetail.aspx?LEGID=4482&GID=570&G=38B42E79-166F-4337-AE30-3665ECD50E7A
land-use,cobb,Cobb County,county,13067,Atlanta Regional Commission,2026-07-14,Board of Commissioners,high,ocr,,annex; warehouse,annexation; development,,"https://cobbcoga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=9043,plainText=false)"
land-use,banks,Banks County,county,13011,,2026-07-14,Board of Commissioners,high,ocr,,annex; conditional use; subdivision,annexation; development; special-land-use,,https://mccmeetings.blob.core.usgovcloudapi.net/banksctyga-pubu/MEET-Agenda-91f58e8a6acb4bf8aa37181da4495745.pdf
land-use,walton,Walton County,county,13297,Broader Metropolitan Statistical Area,2026-07-09,Planning Commission,high,ocr,,rezon; warehouse,development; rezoning,,https://mccmeetings.blob.core.usgovcloudapi.net/waltonco-pubu/MEET-Agenda-3743cc69e097443ba5513e0c55ea45a2.pdf
land-use,henry,Henry County,county,13151,Atlanta Regional Commission,2026-07-09,Zoning Advisory Board,high,ocr,,comprehensive plan; future land use; rezon; variance,comprehensive-plan; rezoning; variance,,"https://henrycoga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=2579,plainText=false)"
land-use,hall,Hall County,county,13139,Northeast Georgia,2026-07-09,Board of Commissioners,high,ocr,,variance,variance,,https://nyc3.digitaloceanspaces.com/hall-county-agenda-pub/media/pdfs/agenda-list-MG-326-vm-20260708194125239425.pdf
land-use,forsyth,Forsyth County,county,13117,Atlanta Regional Commission,2026-07-09,Board of Commissioners,high,ocr,,conditional use; rezon; subdivision; variance; warehouse,development; rezoning; special-land-use; variance,,"https://forsythcoga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=5202,plainText=false)"
land-use,carroll,Carroll County,county,13045,Broader Metropolitan Statistical Area,2026-07-09,Board of Appeals,high,ocr,,variance,variance,,"https://carrollcoga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=2935,plainText=false)"
land-use,barrow,Barrow County,county,13013,Broader Metropolitan Statistical Area,2026-07-09,Board of Appeals,high,granicus,,variance,variance,… ublic Hearings a) VAR2026-00094 (XX056 009D) 406 Mulberry Rd; Matthew Redd/ Applicant; Matthew & Caitlin Redd / Ow ner; Variance request to UDC Sec. 89- 402 for road frontage required and Sec. 89-403 for lot width. VI. Adjournment Barrow County Gov …,https://barrowga.granicus.com/AgendaViewer.php?view_id=1&clip_id=1138
land-use,walton,Walton County,county,13297,Broader Metropolitan Statistical Area,2026-07-07,Board of Commissioners,high,ocr,,rezon; subdivision; variance,development; rezoning; variance,,https://mccmeetings.blob.core.usgovcloudapi.net/waltonco-pubu/MEET-Agenda-a1bd74a3f32a43eaae7f7072cef79220.pdf
land-use,newton,Newton County,county,13217,Broader Metropolitan Statistical Area,2026-07-07,Board of Commissioners,high,ocr,,future land use; land use permit; rezon,comprehensive-plan; rezoning; special-land-use,,https://www.newtoncountyga.gov/AgendaCenter/ViewFile/Agenda/_07072026-978
land-use,henry,Henry County,county,13151,Atlanta Regional Commission,2026-07-07,Board of Commissioners,high,ocr,,annex,annexation,,"https://henrycoga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=2585,plainText=false)"
land-use,douglas,Douglas County,county,13097,Atlanta Regional Commission,2026-07-07,Planning & Zoning,high,ocr,,future land use; rezon; subdivision,comprehensive-plan; development; rezoning,,"https://douglascountyga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=7412,plainText=false)"
